sentence,label
those who know Book 4 by heart,Metaphor
Turf and peat could be cut and dried for fuel and building materials,Literal
I 'm responsible as the buck stops here,Metaphor
they offer merely a form of fool 's gold,Metaphor
She had thought for months of trying to blow the gaff on the fact that she was past marrying off,Metaphor
they attracted attention by driving at 40mph on the M2,Literal
He said it remained in the black but he refused to rule out job cuts,Metaphor
These should be able to find nooks and crannies in which they will be safe,Metaphor
Tesco aims to take a bite out of Apple 's iTunes Comment and analysis,Metaphor
what do you think a woman feels like who 's been born stumpy and fat and who looks as plain as a pikestaff,Simile
At first they drew a blank,Euphemism
elected officials clamor to get a foot in the door in Leesburg,Metaphor
I recognise the importance of this particular game to lift us out of our doom and gloom,Metaphor
a clean sheet,Metaphor
one company told PEN it would rather just take the easy way out and not have pigs,Metaphor
Ana 's makeup is always on the button at every occassion,Metaphor
jump through hoops,Metaphor
"I, as usual, have a foot in both camps",Metaphor
that would be a counsel of despair,Metaphor
We feeli we are caught between a rock and a hard place.,Metaphor
A few hundred more 's neither here nor there,Metaphor
That 's one in the eye for Rod Stewart,Euphemism
I allowed my feelings to get the better of me. Forgive me.,Metaphor
"I think yes, the term sick as a parrot is becoming quite apparent to me in here again.",Simile
Strive earnestly to keep them at arm 's length.,Metaphor
they might have hit it off,Metaphor
rich beyond your wildest dreams or driving the car you 've always wanted,Metaphor
You may bring your bag and baggage and come over here and live for good.,Metaphor
Does the hon. Gentleman really want to set his face against the improvements,Metaphor
O beware my lord of jealousy ! It is the green-eyed monster,Personification
"For the plan 's deficiencies, the buck stops here",Metaphor
come of age,Metaphor
They definitely deserve any success or grab at the brass ring,Metaphor
Kill two birds with one stone by buying the type that incorporates a mains tester in the handle.,Metaphor
clear as a bell,Simile
I will take out of your flesh the heart of stone,Metaphor
Buy now ! Or forever hold your peace.,Metaphor
Rain slams in like a bull in a china shop,Simile
she and her friends would go Dutch at the restaurant,Metaphor
Physically the Decimax should go the distance,Euphemism
Apple growing made as easy as pie,Simile
Evan and Joe lock horns,Metaphor
"He had to be kept at arm 's length, because of Victoria.",Metaphor
Engineering firm back in the black,Metaphor
"Carlisle, who hopes to put the bite on Senator Opal, who is already being blackmailed.",Euphemism
the tragedy was a closed book,Metaphor
Mr Alphandéry could kill two birds with one stone,Metaphor
"it was one of those nights that was""as clear as a bell""that was one of the reasons why I was out",Simile
cut your losses one way or another,Metaphor
are you sure the coast is clear ?,Metaphor
"tickets this year are like gold dust, he said",Simile
A-level students reach the moment of truth,Metaphor
when I came back she was altered. From then it was downhill all the way. Cancer,Euphemism
The illogicality of these statements is as clear as day,Simile
"Which""here today, gone tomorrow politician""got up and went in 1982 ?",Paradox
A blast from the past as he was a hairdresser during his younger years !,Metaphor
she would catch a cold on your behalf,Euphemism
you will be the belle of the ball wearing one of these items,Metaphor
Third defeat in a week makes Sunderland manager turn up the heat,Metaphor
He is still looking fresh as a daisy,Simile
many Soviet communists wanted to make a clean sweep of the discredited old order,Metaphor
all ears are shaped similarly,Literal
child 's play,Metaphor
"the blood toxin levels fell significantly, and Bonnie was as bright as a button",Simile
A lot of them only made it by the skin of their teeth and are in the party only because of their reputation.,Metaphor
an ability to see the funny side of life,Metaphor
I do have a bone to pick with him about one or two physical attributes that I 'm not overly happy about,Euphemism
three quarters do not make the grade as potential pilot material,Metaphor
he was never short of friends in high places,Metaphor
both failed to make the cut after losing,Metaphor
the programme which she now leads was at that time a closed book to her,Metaphor
The bag has been far and away the smallest in my lifetime,Metaphor
It features wit as sharp as a needle.,Simile
"I know, I know, it 's early days",Metaphor
it would make nonsense of the concept of a tenancy,Metaphor
he now faces a race against time to prevent Britain being left in the cold,Personification
hold your horses then Mr Curtis,Metaphor
Another recent case saw a woman kick up a fuss in a restaurant,Metaphor
They definitely deserve any grab at the brass ring,Metaphor
things began to click into place,Metaphor
if I blow the gaff on Cedarcrantz,Metaphor
we can go ahead and get cracking straight away,Metaphor
"ordered several rounds of cocktails, as if they had not had a drink in a month of Sundays",Metaphor
"I was delighted and over the moon to hear that I was the father of a blue-eyed, black-haired baby girl",Metaphor
T2 follows this trend but fails to hit the mark,Metaphor
It seems to me that the trade unions are welcomed with open arms whenever money is needed,Metaphor
depression and disappointment can cause couples to jump at adoption,Metaphor
I 'll never start another business in Northallerton under the heel of such a group,Metaphor
it is probably best to cut your losses,Metaphor
It 's a big deal. It affects my life,Metaphor
let Jonathon play his game,Metaphor
an even break,Metaphor
we offer an early bird festival saver,Metaphor
"Every early bird is after them, and a mole can eat twice its weight in worms every day.",Metaphor
"February 8th 1999 was the last coherent entry, a real cry from the heart",Metaphor
unless you can afford heart of oak,Metaphor
It was as if he were in two minds about something,Metaphor
Lancashire crashed to a 60-run defeat at home to Essex yesterday but it could be a blessing in disguise.,Metaphor
what was she driving at,Metaphor
Keith Fletcher last night gave Geoff Boycott the cold shoulder,Metaphor
Curtis has been a bit under the weather,Euphemism
Their marriage had been on the rocks.,Euphemism
"Moronao, in high dudgeon, turning his back on Wakasa and Yenya",Metaphor
"The backers thought the deadline was such a tall order, we would never make it.",Personification
they talk dirty to you always,Euphemism
the Star Wars films had already hit the mark with computer-controlled model shots of space ships,Metaphor
Burt Young and Sean ' P. Diddy ' Combs make a hash of their lines,Euphemism
What she saw took her breath away,Metaphor
You got ta go with the flow,Metaphor
an hour after cast-off we were still within spitting distance,Metaphor
the frustrated musketeers thereupon also took to their heels,Metaphor
"Your poll rating has slumped, your personal credibility is still bumping along the bottom",Metaphor
Perhaps it was an act of God,Euphemism
"Do n't push your luck, his father advised",Metaphor
