sentence,label
I have taken to management like a duck to water,Simile
"Somebody to wait on you, hand and foot",Metaphor
What I know of Moscow is that you keep your nose clean,Metaphor
They usually ring a bell at the school,Literal
But surgeons were forced to call it a day because they could n't find the right tools for the job.,Metaphor
you 're sure to leave feeling on top of the world,Metaphor
Libby says I 've got the worst bedside manner,Metaphor
extension is a great way to make a contribution to the project and to get your feet wet with the code base,Metaphor
Nowhere else is big enough to take him and he should know the score.,Metaphor
It looks now as if the boot is on the other foot.,Metaphor
in the box seat,Metaphor
He would give the game away within the first hour,Metaphor
it was Penn 's last success to date. From there it has been downhill all the way,Euphemism
"he simply closed up, lock, stock and barrel",Metaphor
you will be the belle of the ball wearing one of these items,Metaphor
David hit the nail on the head with the hammer,Literal
You might be prepared to make an exhibition of yourself,Euphemism
Howy is a man after my own heart,Metaphor
you can drop your guard and forget how difficult it was to give up smoking,Metaphor
We are raining cats and dogs in here,Metaphor
Mr D BOWIE has finally been brought to book for his current misdemeanours.,Metaphor
add fuel to the fire,Euphemism
it 's a far cry from the rigours of the scrum,Metaphor
Many conservatives in both countries think their leaders are washed up and need a kick in the pants,Metaphor
"Nicholson, whose career is on the crest of a wave at present",Metaphor
"she, Paige, had to duck and dive, in fruitless attempts",Metaphor
the coast is clear,Metaphor
I could see it was an accident waiting to happen,Metaphor
Britain 's contact lens wearers are being forced to pay through the nose,Metaphor
It 's all right ' cuz I 'm saved by the bell,Personification
"To add insult to injury, Alan 's not even entitled to unemployment benefit.",Metaphor
Go through the motions of searching for the ship,Metaphor
they may as well be pushing up the daisies,Euphemism
it had already hit the mark,Metaphor
"Helen said, I 'll hold the fort",Metaphor
it is absolutely essential that they should be obeyed to the letter,Metaphor
"Small and medium-sized firms would set the pace, blazing a trail for others to follow.",Metaphor
You can call it anything you like. It 's neither fish nor fowl,Metaphor
They are reflexes built into the system from the word go,Metaphor
Exactly how do you picture those whom Our Lord chose to break bread with ?,Metaphor
"It is a provincial book, written from the heart and soul of the other Scotland",Metaphor
He arrived late. Things were in full swing,Metaphor
we make a beeline for the fried foods,Metaphor
The top of the Campanile in the square gives a bird's-eye view of Venice,Metaphor
here are the most effective ways to hold back the hands of time.,Personification
"The big danger, for the Westerner, is to go overboard",Metaphor
we need a big cheese to eat,Literal
This whole thing is pathetic -- it could take the shine off one of the highlights of Kylie 's career.,Metaphor
"El-Jorr complained, citing names, chapter and verse",Metaphor
she does n't want to drop the ball on this one,Euphemism
I always gave my husband the benefit of the doubt,Metaphor
a soundproofed room where teams of analysts worked around the clock to monitor the fluctuating developments in world affairs,Metaphor
The restaurant did n't have a big cheese sandwich left,Literal
The housing crisis took the shine off first-time figures.,Metaphor
