sentence,label
"their opinion is that""the end justifies the means ''",Metaphor
Looks like a match made in heaven to me,Metaphor
In a family there is always one who is a rotten apple and it does not mean that they should be spared,Metaphor
The ragged plea hit a nerve that seemed connected to her soul,Metaphor
You can acquire some most unusual species for a song at village jumble sales,Metaphor
We are now at the crossroads on the issue,Euphemism
have an eye for,Metaphor
"As he expected, he drew a blank, and found the main objection was the Founders ' powers",Euphemism
It 's still a hot air story,Metaphor
Go up the hill like the deuce with it,Simile
In happy marriages the partners do n't make a big deal of minor irritations,Metaphor
a number of them have been put out to grass,Euphemism
Conservatories that meet these specifications will sell like hot cakes in 2005,Simile
"They went into a spin, wheeling head over heels about their centre",Metaphor
tomorrow you 're going to be very much snowed under.,Metaphor
It took off like a scalded cat.,Simile
ensure it is n't a dialogue of the deaf,Metaphor
a senior government official had chosen to ' cross the floor ' and move from the public to the private sector.,Metaphor
she 's had another shot at the brass ring.,Metaphor
in the first flush of manhood,Metaphor
I can touch base with a few old buddies,Metaphor
it was a question of horses for courses,Metaphor
"They can be the""power behind the throne --, using what power they have to its fullest potential.",Metaphor
Her work was in eclipse for most of the twentieth century,Metaphor
the Halifax used cheap and cheerful computer systems to centralise information-gathering,Metaphor
this figure of fun is going to bed now,Euphemism
"if you like, killing the goose that lays the golden egg",Metaphor
his is a name to conjure with,Metaphor
"As soon as I drink wine, the next morning I feel like nothing on earth",Metaphor
they have friends in high places,Metaphor
What you get is a sound as clear as a bell and performances that are mostly good,Simile
my heart bleeds for you,Personification
"a High Court ruling that £75,000 paid to England and Derby goalkeeper should be treated as a golden handshake",Metaphor
"She 's a regular babe in the wood in the East End, however knowledgeable she might be in her own world",Euphemism
cut the Gordian knot,Metaphor
"Afterwards, the SAE would disclose his identity, then pick holes in the AE 's sales techniques",Metaphor
"Anything you want to know, it 'll be there at your fingertips",Metaphor
Marley 's widow in the clear,Metaphor
Perhaps you 'd like to do the honours ? Certainly,Metaphor
I get on like a house on fire with a 22 frame,Simile
he knew reviving an old flame would only aggravate it,Metaphor
then again my name is mud and ill never hear the end of it,Metaphor
Be there with bells on and in good singing voice,Metaphor
she has got a chip on her shoulder,Euphemism
you want to be where the action is,Metaphor
The moment of truth comes on Tuesday when they meet unstoppable Portadown,Metaphor
they made the cut into the team,Metaphor
"Out, drunk, hoisted into the wheelchair, downhill all the way home, whipping the air",Literal
Oh I promised to go to church with her ' Bout a month of Sundays ago,Metaphor
"They are neither fish nor fowl, hot nor cold",Metaphor
you can not legislate for a change of heart,Metaphor
Some dealers tried to convey the FALSE impression that the two markets were in cahoots,Metaphor
A revolving stage with five sets helped to keep the pace fast and furious,Metaphor
"if you think you 're going to say something critical, bite your tongue.",Metaphor
I 'm just pleased to have kept a clean sheet against them,Metaphor
I 'm over the moon at this exciting prospect,Metaphor
We 've had to do some very uncomfortable things to put the country on an even keel for the future,Metaphor
I somehow feel you do not read the message completely and try to jump to conclusion,Metaphor
"the hotel room service that arrives thirty minutes late, the bad apple in the pack",Metaphor
It takes off like a scalded cat.,Simile
A figure stepped and stood in front of me with open arms.,Literal
"I 'm awful, I 'm dreadful, a rotten apple.",Metaphor
Sam Ellis was in the box seat after the match just as he had been at Portman Road,Metaphor
Gaza withdrawals are a dime a dozen,Metaphor
You caught us on the hop there,Metaphor
he despised his fellow MPs for affecting the common touch,Metaphor
you 'll need your best bib and tucker for the culinary excellence of Crabwall Manor,Metaphor
they began to strike a chord with some of the surveyors,Metaphor
Now they can stop pretending and make a clean break and a clean start.,Metaphor
Captain Chiropodist put his best foot forward in Cleveland yesterday,Metaphor
feel it in my bones,Metaphor
He wanted to make sure he knew who 'd been the problem and would n't let me off the hook,Metaphor
I do n't like him having a foot in the door here,Metaphor
the Home Office to try to dig up dirt on Mr Clinton,Metaphor
the water was like ice round my feet as I pushed the boat out.,Literal
Put your best foot forward and walk all or part of a 25 mile route from London to Ware in Hertfordshire,Metaphor
heart of stone,Metaphor
Big respect for being able to keep so many irons in the fire,Metaphor
How did you know I 've got a sweet tooth ?,Metaphor
John the carpenter pulled the final nail in the coffin,Literal
Pain and nausea swept over him in waves that left him hot and sticky and weak at the knees.,Literal
we cooked up some meal to eat,Literal
make sure your aircraft remains in fine fettle for the summer ahead,Metaphor
Do n't pass the buck to me,Metaphor
I just do n't want anyone else to get their fingers burnt over this,Metaphor
if only he had the courage to grasp the nettle,Metaphor
rise like a rocket,Simile
"keeping its foot in the door ', one analyst suggested",Metaphor
They arrested enough Knowsley Councillors to be on nodding terms with a few,Metaphor
They were to stay on the alert for any soldier unlucky enough to go overboard,Metaphor
their cases for adjudication will give them a fair crack of the whip,Metaphor
Even then it is best to err on the side of too much reinforcement rather than too much punishment,Metaphor
have it easy,Metaphor
Keith Fletcher last night gave Geoff Boycott the cold shoulder,Metaphor
A newsletter for taxi-drivers hit the road this week,Metaphor
she was like a cat on a hot tin roof,Simile
Allied pilots described the destruction of the struggling column as like shooting fish in a barrel,Simile
"The back cover features a classic shot of the pair seated, dressed to the nines",Metaphor
like a phoenix from the ashes,Simile
"We 've covered why in detail several times, so let 's cut to the chase",Metaphor
she looked absolutely fit as a fiddle,Simile
now that I am back into the full swing of things,Metaphor
we have noticed that some clubs do manage accidentally-on-purpose to leave these out.,Oxymoron
I was talking probably a mile a minute,Metaphor
Irish Americans think Ulster Catholics are getting a raw deal,Euphemism
I 'm banging my head against a brick wall,Metaphor
He lost a tooth when he got a kick in the teeth,Literal
"As has always been the case, money talks",Personification
the TRUE grit of a seasoned campaigner,Metaphor
"these were a very""trolleyish""lot, mostly cut and dried in advance, including a summer pudding",Literal
"Sony, BMG hope to hit the right note",Metaphor
Washington gave him the green light on Kuwait,Metaphor
Selina was able to call the shots,Metaphor
People like to be in on a secret,Metaphor
"Vaguely she wondered who had coined the phrase""packed like sardines",Simile
Nowhere else is big enough to take him and he should know the score.,Metaphor
I knew that barring an Act of God I could set my watch by it thereafter,Euphemism
The PR person is very often in a cleft stick,Euphemism
there is nothing to be gained from knocking your head against a brick wall,Metaphor
You ca n't jump the gun,Metaphor
they give us a fair crack of the whip,Metaphor
"Well, you can think again, because I do n't play second fiddle to anyone",Metaphor
You bent over backwards for the deal,Metaphor
Do you feel like you are running on empty ?,Metaphor
Recruiting outsiders is a dead duck for the moment,Metaphor
the England squad are to put the frighteners on Alan Smith,Metaphor
he should play second fiddle to his better half,Metaphor
Some of these arguments are on all fours with other theistic arguments,Metaphor
Williams 's plans could lie in ruins tonight if Graham Smith 's B side grasp the nettle,Metaphor
Solar energy is produced by the thermonuclear reactions which are constantly taking place in the sun,Literal
She tasted blood after realizing that her own face was gashed just below the left eye.,Literal
