sentence,label
What he meant was that you had to cover a lot of ground to find anything newsworthy,Metaphor
It 's as dead as a dodo,Simile
Cromwell cut the Gordian knot in every respect,Metaphor
sweat bullets,Metaphor
It 's a bird 's eye view as to where everything is on the spreadsheet.,Metaphor
Russia was under the heel of German Imperialism,Metaphor
"However, she was beginning to feel her age and could not face an argument",Metaphor
Women in Christianity today stand at the crossroads,Euphemism
it was a question of horses for courses,Metaphor
"In spite of the worry at the back of her mind, she sat down beside her patient",Metaphor
"All the crew liked and even obeyed Silver, and he was always pleased to see me in the kitchen, which he kept as clean as a new pin.",Simile
"The new hair, new attitude RudeBoy was just out to raise hell",Metaphor
he still has enough talent and good will on which to stage the comeback once the die is cast,Metaphor
"Such a trial, however, could well prove to be a double-edged sword for the administration",Metaphor
"I should have invited him, as Thorfinn did, but only time will tell if he was right",Personification
Gloucester Rugby Club 's semi-final got off to a flying start today,Metaphor
it 's the rich and powerful nations that call the tune around the world,Metaphor
copy the manners and behaviour of girls of easy virtue,Euphemism
"These days, to 'leave bag and baggage ' means just to clear out of a property, leaving nothing behind.",Metaphor
"Some argue that while this may be desirable, it is not possible ; it is pie in the sky, since it ignores reality.",Metaphor
Occasionally you stick to your guns,Metaphor
"Its elegant, sophisticated lines turn heads wherever it goes",Metaphor
they occupied almost every available nook and cranny,Metaphor
some of us have passed our sell by date,Metaphor
"The easy-come, easy-go attitude",Parallelism
they enjoy building castles in the air,Euphemism
If they could get it together they 'd be a much better team,Metaphor
His presence will make things rather difficult for Canaris which will be all to the good,Metaphor
"He will be, as they say, a hard act to follow",Metaphor
it provides an idea of the way the Palace would expect to pass the buck,Metaphor
You can call it anything you like. It 's neither fish nor fowl,Metaphor
"Identify the niche, embrace the needs of your customer and above all, count your pennies.",Metaphor
"Opposed, he could breathe fire",Metaphor
"Anyway, she 's seen him in his TRUE colours now",Metaphor
You have an old head on young shoulders,Paradox
He could sniff out the personal myth and make mincemeat of it,Metaphor
It 's crazy how time flies by and how fast kids grow,Personification
"I am up to my ears in this, I 'm not going to take this another day",Metaphor
we make a beeline for the fried foods,Metaphor
They 're topping the bill in the Central Match Live,Metaphor
An unashamed culture vulture,Metaphor
It is practically impossible to have a foot in both camps at the same time,Metaphor
"if I may say so, you have hit the nail on the head with your reference to the registration",Metaphor
this is a good way to get your feet wet without paying for hosting fees,Metaphor
he will be a considerable influence in the corridors of power,Metaphor
cut your losses one way or another,Metaphor
Religious people are going to have to think outside the box.,Metaphor
like the movies which chime in with currently popular hate campaigns,Metaphor
Just as long as the boys go easy on me,Metaphor
it will break cover in South Cumbria 's Grizedale Forest,Metaphor
They know time is money so they have a policy of buying it with yours and everyone else 's,Metaphor
The band and drums put on their best bib and tucker and all looked fantastic,Metaphor
the response was to bury his head in the sand,Metaphor
put your thinking cap on,Metaphor
We all know that we are under the microscope after various events,Metaphor
we can go ahead and get cracking straight away,Metaphor
"If you do n't, you 'll soon be out on your ear",Euphemism
they would give poor Skerne Park a kick in the pants along with Mr Hylsop,Metaphor
wooden aeroplanes are under a cloud,Euphemism
